"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","sona_id","subjectID","dateInfo","rt","stimulus","response","question_order","choices","speedy","sampleAlg","selected_image","selected_index","correct"
"","","","","","html-keyboard-response","312","446231","0.0-17.0-2.3-0.7","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","313","447688","0.0-17.0-2.3-1.7","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","1455","materials/imgs/D102.png","arrowright","","[""materials/imgs/D32.png"",""materials/imgs/D111.png""]","false","validation","","",""
"","","","","","html-keyboard-response","314","448189","0.0-17.0-0.4-0.28","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","315","449976","0.0-17.0-0.4-1.28","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","1785","materials/imgs/D95.png","arrowleft","","[""materials/imgs/D17.png"",""materials/imgs/D77.png""]","false","random","","",""
"","","","","","html-keyboard-response","316","450477","0.0-17.0-0.4-0.29","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","317","451404","0.0-17.0-0.4-1.29","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","924","materials/imgs/D103.png","arrowright","","[""materials/imgs/D49.png"",""materials/imgs/D55.png""]","false","random","","",""
"","","","","","html-keyboard-response","318","451905","0.0-17.0-0.4-0.30","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","319","452907","0.0-17.0-0.4-1.30","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","1000","materials/imgs/D6.png","arrowleft","","[""materials/imgs/D83.png"",""materials/imgs/D56.png""]","false","random","","",""
"","","","","","html-keyboard-response","320","453408","0.0-17.0-0.4-0.31","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","321","454532","0.0-17.0-0.4-1.31","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","1122","materials/imgs/D104.png","arrowleft","","[""materials/imgs/D68.png"",""materials/imgs/D95.png""]","false","random","","",""
"","","","","","html-keyboard-response","322","455034","0.0-17.0-0.4-0.32","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","323","455705","0.0-17.0-0.4-1.32","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","669","materials/imgs/D53.png","arrowright","","[""materials/imgs/D9.png"",""materials/imgs/D52.png""]","false","random","","",""
"","","","","","html-keyboard-response","324","456207","0.0-17.0-0.4-0.33","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","325","457778","0.0-17.0-0.4-1.33","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","1569","materials/imgs/D65.png","arrowright","","[""materials/imgs/D21.png"",""materials/imgs/D94.png""]","false","random","","",""
"","","","","","html-keyboard-response","326","458280","0.0-17.0-0.4-0.34","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","327","459462","0.0-17.0-0.4-1.34","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","1180","materials/imgs/D74.png","arrowright","","[""materials/imgs/D9.png"",""materials/imgs/D37.png""]","false","random","","",""
"","","","","","html-keyboard-response","328","459963","0.0-17.0-1.4-0.4","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","329","460747","0.0-17.0-1.4-1.4","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","782","materials/imgs/D46.png","arrowleft","","[""materials/imgs/D46.png"",""materials/imgs/D26.png""]","","check","materials/imgs/D46.png","0","true"
"","","","","","html-keyboard-response","330","461249","0.0-17.0-2.4-0.8","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","331","462340","0.0-17.0-2.4-1.8","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","1089","materials/imgs/D16.png","arrowleft","","[""materials/imgs/D52.png"",""materials/imgs/D25.png""]","false","validation","","",""
"","","","","","html-keyboard-response","332","462841","0.0-17.0-2.4-0.9","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","333","463516","0.0-17.0-2.4-1.9","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","673","materials/imgs/D47.png","arrowleft","","[""materials/imgs/D1.png"",""materials/imgs/D52.png""]","false","validation","","",""
"","","","","","html-button-response","334","464671","0.0-18.0","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","1153","You have completed 75% of the trials. Please click 'Continue' when you are ready proceed.","0","","","","","","",""
"","","","","","html-keyboard-response","335","465172","0.0-19.0-0.0-0.0","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","336","466197","0.0-19.0-0.0-1.0","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","1015","materials/imgs/D84.png","arrowleft","","[""materials/imgs/D77.png"",""materials/imgs/D76.png""]","false","random","","",""
"","","","","","html-keyboard-response","337","466699","0.0-19.0-0.0-0.1","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","338","467836","0.0-19.0-0.0-1.1","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","1135","materials/imgs/D84.png","arrowleft","","[""materials/imgs/D24.png"",""materials/imgs/D79.png""]","false","random","","",""
"","","","","","html-keyboard-response","339","468338","0.0-19.0-0.0-0.2","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","340","469646","0.0-19.0-0.0-1.2","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","1306","materials/imgs/D48.png","arrowleft","","[""materials/imgs/D25.png"",""materials/imgs/D4.png""]","false","random","","",""
"","","","","","html-keyboard-response","341","470147","0.0-19.0-0.0-0.3","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","342","471699","0.0-19.0-0.0-1.3","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","1550","materials/imgs/D1.png","arrowleft","","[""materials/imgs/D29.png"",""materials/imgs/D16.png""]","false","random","","",""
"","","","","","html-keyboard-response","343","472200","0.0-19.0-0.0-0.4","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","344","473843","0.0-19.0-0.0-1.4","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","1641","materials/imgs/D102.png","arrowleft","","[""materials/imgs/D95.png"",""materials/imgs/D17.png""]","false","random","","",""
"","","","","","html-keyboard-response","345","474345","0.0-19.0-0.0-0.5","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","346","475894","0.0-19.0-0.0-1.5","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","1547","materials/imgs/D53.png","arrowright","","[""materials/imgs/D56.png"",""materials/imgs/D87.png""]","false","random","","",""
"","","","","","html-keyboard-response","347","476395","0.0-19.0-0.0-0.6","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","348","477788","0.0-19.0-0.0-1.6","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","1391","materials/imgs/D46.png","arrowright","","[""materials/imgs/D25.png"",""materials/imgs/D64.png""]","false","random","","",""
"","","","","","html-keyboard-response","349","478289","0.0-19.0-1.0-0.0","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","350","478845","0.0-19.0-1.0-1.0","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","555","materials/imgs/D106.png","arrowleft","","[""materials/imgs/D106.png"",""materials/imgs/D101.png""]","","check","materials/imgs/D106.png","0","true"
"","","","","","html-keyboard-response","351","479346","0.0-19.0-2.0-0.0","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","352","480813","0.0-19.0-2.0-1.0","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","1465","materials/imgs/D11.png","arrowleft","","[""materials/imgs/D83.png"",""materials/imgs/D48.png""]","false","validation","","",""
"","","","","","html-keyboard-response","353","481314","0.0-19.0-2.0-0.1","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","354","482463","0.0-19.0-2.0-1.1","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","1146","materials/imgs/D77.png","arrowright","","[""materials/imgs/D102.png"",""materials/imgs/D65.png""]","false","validation","","",""
"","","","","","html-keyboard-response","355","482964","0.0-19.0-0.1-0.7","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","356","483796","0.0-19.0-0.1-1.7","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","830","materials/imgs/D32.png","arrowleft","","[""materials/imgs/D80.png"",""materials/imgs/D66.png""]","false","random","","",""
"","","","","","html-keyboard-response","357","484297","0.0-19.0-0.1-0.8","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","358","484991","0.0-19.0-0.1-1.8","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","693","materials/imgs/D17.png","arrowleft","","[""materials/imgs/D14.png"",""materials/imgs/D47.png""]","false","random","","",""
"","","","","","html-keyboard-response","359","485493","0.0-19.0-0.1-0.9","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","360","486836","0.0-19.0-0.1-1.9","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","1342","materials/imgs/D101.png","arrowright","","[""materials/imgs/D4.png"",""materials/imgs/D84.png""]","false","random","","",""
"","","","","","html-keyboard-response","361","487337","0.0-19.0-0.1-0.10","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","362","489179","0.0-19.0-0.1-1.10","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","1839","materials/imgs/D21.png","arrowright","","[""materials/imgs/D75.png"",""materials/imgs/D57.png""]","false","random","","",""
"","","","","","html-keyboard-response","363","489680","0.0-19.0-0.1-0.11","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","364","490859","0.0-19.0-0.1-1.11","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","1176","materials/imgs/D75.png","arrowleft","","[""materials/imgs/D46.png"",""materials/imgs/D104.png""]","false","random","","",""
"","","","","","html-keyboard-response","365","491361","0.0-19.0-0.1-0.12","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","366","492292","0.0-19.0-0.1-1.12","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","929","materials/imgs/D29.png","arrowright","","[""materials/imgs/D96.png"",""materials/imgs/D6.png""]","false","random","","",""
"","","","","","html-keyboard-response","367","492794","0.0-19.0-0.1-0.13","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","368","493676","0.0-19.0-0.1-1.13","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","880","materials/imgs/D49.png","arrowleft","","[""materials/imgs/D82.png"",""materials/imgs/D32.png""]","false","random","","",""
"","","","","","html-keyboard-response","369","494178","0.0-19.0-1.1-0.1","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","370","494785","0.0-19.0-1.1-1.1","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","606","materials/imgs/D76.png","arrowleft","","[""materials/imgs/D76.png"",""materials/imgs/D78.png""]","","check","materials/imgs/D76.png","0","true"
"","","","","","html-keyboard-response","371","495287","0.0-19.0-2.1-0.2","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","372","496806","0.0-19.0-2.1-1.2","b3x64et4jd","","b3x64et4jd","""2024-11-12T18:52:58.206Z""","1518","materials/imgs/D46.png","arrowright","","[""materials/imgs/D92.png"",""materials/imgs/D77.png""]","false","validation","","",""
